Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
28,688;0,967399008;0,992120344;28,647;1,031941032;0,969446738;28,821;1,013771997;1,011600928;28,65;1,041761579;0,976281561;28,736;1,019920319;1,009630819;28,117;0,983050847;1,001659751
29,204;0,998582566;0,992836676;29,153;1,034398034;0,990916598;29,33;1,006885998;1,008507347;29,16;0,991647684;0,985462892;29,246;1,010358566;1,007223114;28,619;0,985472155;0,999170124
29,715;1,05102764;0,994269341;29,677;1,011466011;0,996696945;29,847;1,005355777;1,008507347;29,67;0,988610478;0,990053558;29,771;1,013545817;1,002407705;29,121;0,98062954;0,995850622
30,223;0,992912828;0,993553009;30,187;0,948402948;0,992568126;30,364;1,005355777;1,003093581;30,17;0,99468489;0,992348891;30,292;1,010358566;0,997592295;29,637;0,988700565;0,993360996
30,728;0,960311836;0,996418338;30,698;0,948402948;0,979355904;30,869;1,001530222;1,003093581;30,69;0,986332574;0,992348891;30,807;1,007968127;1;30,144;0,97740113;0,998340249
31,238;0,980864635;0,999283668;31,207;0,968877969;0,981007432;31,386;1;1,006187162;31,21;0,984813971;0,994644223;31,314;1,003984064;1,001605136;30,647;0,986279257;0,990871369
31,749;0,983699504;0,989255014;31,71;0,954954955;0,996696945;31,892;1;1;31,72;0,985573273;0,996174445;31,827;1,004780876;1,002407705;31,16;0,981436642;0,979253112
32,265;0,979447201;0,994985673;32,223;0,95986896;0,994219653;32,407;1,005355777;0,997679814;32,23;0,986332574;0,998469778;32,341;1,006374502;1,001605136;31,671;0,978208232;0,978423237
32,779;0,973068746;0,989255014;32,732;0,95004095;0,992568126;32,916;1,002295333;1,00154679;32,75;0,990888383;0,996174445;32,852;1,004780876;1,002407705;32,174;0,972558515;0,989211618
33,283;0,977321049;0,993553009;33,245;0,952497952;0,987613543;33,437;1,003825555;1,004640371;33,26;0,983295368;1,000765111;33,367;1,007171315;1,004012841;32,701;0,979822437;0,988381743
33,799;0,980155918;0,994269341;33,759;0,971334971;0,981833196;33,95;1,001530222;1,003866976;33,77;0,988610478;1,001530222;33,897;1,007968127;1,004815409;33,22;0,992736077;0,995020747
34,318;0,980155918;0,98782235;34,269;0,974610975;0,984310487;34,466;0,999234889;1,00154679;34,27;0,992406986;1,000765111;34,417;1,004780876;1,005617978;33,72;0,995157385;0,994190871
34,819;0,976612332;0,994985673;34,783;0,959049959;0,994219653;34,972;0,999234889;1,000773395;34,78;0,99468489;1,000765111;34,92;1,007968127;1,004815409;34,224;0,982243745;0,991701245
35,337;0,980864635;0,993553009;35,304;0,956592957;0,996696945;35,501;0,995409334;1,000773395;35,29;0,98936978;1,000765111;35,437;1,005577689;1,001605136;34,737;0,991928975;0,995020747
35,842;0,983699504;0,996418338;35,822;0,98034398;0,996696945;36,019;0,999234889;1,003093581;35,79;0,997722096;1,003060444;35,942;1,001593625;1,002407705;35,242;0,988700565;0,994190871
36,349;0,982990787;1;36,337;0,977067977;0,999174236;36,537;0,986228003;1;36,31;0,997722096;1,003060444;36,456;1,001593625;1,001605136;35,744;0,985472155;0,994190871
36,854;0,996456414;0,999283668;36,846;0,976248976;0,994219653;37,049;1,003825555;1,00154679;36,81;0,996203493;1,000765111;36,975;1,000796813;1,000802568;36,244;0,987893462;0,99253112
37,367;1,055279943;0,996418338;37,351;0,977886978;0,990916598;37,557;1,005355777;1,000773395;37,33;0,995444191;1,001530222;37,506;1,000796813;1,000802568;36,753;0,981436642;0,994190871
37,868;1,028348689;0,995702006;37,861;0,977886978;0,994219653;38,064;1,003825555;1;37,83;0,99468489;1,002295333;38,038;1,000796813;1,000802568;37,26;0,983050847;0,995020747
38,397;0,997873848;0,994985673;38,365;0,981981982;0,998348472;38,588;1,005355777;1,000773395;38,34;0,995444191;1,004590666;38,543;1,001593625;1,000802568;37,789;0,985472155;0,990871369
38,917;0,990077959;0,992120344;38,872;0,984438984;0,996696945;39,092;1,006885998;1,000773395;38,85;0,993166287;1,004590666;39,046;1,001593625;1,001605136;38,306;0,992736077;0,99253112
39,432;0,990077959;0,992836676;39,387;0,976248976;0,999174236;39,595;1,006885998;1;39,36;0,993925588;1,004590666;39,547;1,003187251;1,001605136;38,817;0,991121872;0,99253112
39,938;0,992912828;0,995702006;39,907;0,978705979;0,999174236;40,107;1,003825555;1,00154679;39,87;0,993166287;1,004590666;40,052;1,002390438;1,001605136;39,337;0,99354318;0,99253112
